,Compte,Type,Ticker,Quantité,Average Cost
0,DU1507428,Stock,MGM,-370.0,27.0624289
1,DU1507428,Stock,CAH,209.0,47.995
2,DU1507428,Stock,WBA,-184.0,54.54331685
3,DU1507428,Stock,MLM,-38.0,266.31805265
4,DU1507428,Stock,HCP,-280.0,35.80413965
5,DU1507428,Stock,MDT,94.0,105.8906383
6,DU1507428,Stock,CINF,-87.0,115.99598505
7,DU1507428,Stock,CHTR,-23.0,429.1275174
8,DU1507428,Stock,HES,-152.0,66.59323945
9,DU1507428,Stock,AMZN,1.0,1821.99
10,DU1507428,Stock,NWSA,-712.0,14.1745875
11,DU1507428,Stock,CDNS,156.0,64.15641025
12,DU1507428,Stock,LUV,-192.0,52.1535927
13,DU1507428,Stock,FDX,71.0,139.7540845
14,DU1507428,Stock,MAA,-77.0,129.5342117
15,DU1507428,Stock,LYB,-119.0,84.2297336
16,DU1507428,Stock,EXPE,75.0,132.64333335
17,DU1507428,Stock,TRIP,261.0,37.855
18,DU1507428,Stock,L,-204.0,49.0438657
19,DU1507428,Stock,UTX,73.0,137.82369865
20,DU1507428,Stock,VMC,68.0,147.7447059
21,DU1507428,Stock,MKC,-61.0,165.0600705
22,DU1507428,Stock,PSX,-99.0,101.14768585
23,DU1507428,Stock,BWA,-277.0,36.16413215
24,DU1507428,Stock,CERN,150.0,66.61666665
25,DU1507428,Stock,MCHP,-107.0,93.5451402
26,DU1507428,Stock,AVB,-47.0,213.8141787
27,DU1507428,Stock,WU,456.0,21.945
28,DU1507428,Stock,XRX,329.0,30.395
29,DU1507428,Stock,CVS,158.0,63.4863291
30,DU1507428,Stock,BSX,-260.0,38.52408345
31,DU1507428,Stock,XRAY,187.0,53.5753476
32,DU1507428,Stock,MAS,-239.0,41.9081975
33,DU1507428,Stock,VLO,120.0,83.71833335
34,DU1507428,Stock,MXIM,-174.0,57.6129414
35,DU1507428,Stock,COO,4.0,302.08
36,DU1507428,Stock,DGX,97.0,103.3803093
37,DU1507428,Stock,ETFC,-275.0,36.43412655
38,DU1507428,Stock,BAC,345.0,28.765
39,DU1507428,Stock,C,-147.0,68.03167005
40,DU1507428,Stock,COG,-586.0,17.09452695
41,DU1507428,Stock,CSCO,-216.0,46.463919
42,DU1507428,Stock,FLS,225.0,44.605
