,Compte,Type,Ticker,Quantité,Average Cost
0,DU1507428,Stock,MGM,308.0,32.095
1,DU1507428,Stock,WDC,-199.0,49.69382715
2,DU1507428,Stock,HAS,82.0,122.2121951
3,DU1507428,Stock,CAH,-179.0,55.10315365
4,DU1507428,Stock,WBA,-175.0,57.95296685
5,DU1507428,Stock,VTR,-169.0,58.76274735
6,DU1507428,Stock,MLM,-38.0,266.31805265
7,DU1507428,Stock,CCL,-232.0,43.119678
8,DU1507428,Stock,MDT,-88.0,112.2361943
9,DU1507428,Stock,CINF,88.0,114.20136365
10,DU1507428,Stock,IRM,304.0,32.8513158
11,DU1507428,Stock,HES,-148.0,67.3247034
12,DU1507428,Stock,AMZN,1.0,1821.99
13,DU1507428,Stock,NWS,-704.0,14.2073709
14,DU1507428,Stock,NWSA,-756.0,13.0097439
15,DU1507428,Stock,MCK,66.0,149.9151515
16,DU1507428,Stock,WHR,-62.0,162.23039355
17,DU1507428,Stock,CDNS,156.0,64.15641025
18,DU1507428,Stock,NLSN,502.0,19.675
19,DU1507428,Stock,LUV,174.0,56.70574715
20,DU1507428,Stock,VAR,83.0,120.5520482
21,DU1507428,Stock,MAA,-77.0,129.5342117
22,DU1507428,Stock,LYB,-119.0,84.2297336
23,DU1507428,Stock,EXPE,74.0,135.4835135
24,DU1507428,Stock,VMC,-69.0,141.57245795
25,DU1507428,Stock,MKC,-59.0,167.5894627
26,DU1507428,Stock,PSX,-86.0,114.7258779
27,DU1507428,Stock,BWA,-234.0,42.08400985
28,DU1507428,Stock,CERN,-144.0,69.11150555
29,DU1507428,Stock,MCHP,-107.0,93.5451402
30,DU1507428,Stock,CNC,162.0,60.59617285
31,DU1507428,Stock,AVB,46.0,214.98173915
32,DU1507428,Stock,TWTR,317.0,30.9176183
33,DU1507428,Stock,WU,456.0,21.945
34,DU1507428,Stock,XRX,-294.0,34.13417415
35,DU1507428,Stock,ULTA,41.0,245.38439025
36,DU1507428,Stock,MAR,-73.0,136.5633548
37,DU1507428,Stock,CVS,137.0,72.10729925
38,DU1507428,Stock,EBAY,282.0,35.115
39,DU1507428,Stock,VFC,119.0,84.32361345
40,DU1507428,Stock,BSX,240.0,41.655
41,DU1507428,Stock,XRAY,-175.0,56.60299485
42,DU1507428,Stock,MAS,-224.0,44.99394955
43,DU1507428,Stock,VLO,-102.0,97.54805785
44,DU1507428,Stock,MXIM,-173.0,56.9929208
45,DU1507428,Stock,COO,31.0,313.77225805
46,DU1507428,Stock,ETFC,244.0,40.7907377
47,DU1507428,Stock,C,-133.0,74.66081655
48,DU1507428,Stock,COG,-533.0,18.7644925
49,DU1507428,Stock,CSCO,-216.0,46.463919
50,DU1507428,Stock,FLS,-203.0,48.6138744
51,DU1507428,Stock,HSIC,-147.0,67.7316762
52,DU1507428,Stock,AIZ,-78.0,127.2144269
53,DU1507428,Stock,CTSH,-156.0,63.77215065
54,DU1507428,Stock,RE,-38.0,259.8881842
55,DU1507428,Stock,AIV,185.0,53.32702705
56,DU1507428,Stock,NEM,-252.0,39.6440603
57,DU1507428,Stock,WRK,-244.0,40.5640414
58,DU1507428,Stock,PWR,236.0,41.755
59,DU1507428,Stock,STZ,52.0,193.22923075
60,DU1507428,Stock,MRO,-820.0,12.1946284
61,DU1507428,Stock,CL,-145.0,67.67158345
62,DU1507428,Stock,CI,50.0,198.64
63,DU1507428,Stock,CRM,66.0,152.6751515
64,DU1507428,Stock,KMX,-107.0,93.67859625
65,DU1507428,Stock,CHD,-143.0,68.81146365
66,DU1507428,Stock,MO,241.0,41.495
67,DU1507428,Stock,CVX,88.0,113.38136365
68,DU1507428,Stock,MU,-207.0,47.58389565
69,DU1507428,Stock,JEF,-488.0,20.31446045
70,DU1507428,Stock,STX,-172.0,57.9928663
71,DU1507428,Stock,AES,-633.0,15.8477123
72,DU1507428,Stock,ALL,-91.0,109.5366242
73,DU1507428,Stock,AME,-103.0,97.0581631
74,DU1507428,Stock,AMD,-287.0,35.12202855
75,DU1507428,Stock,TFX,-30.0,337.91955335
76,DU1507428,Stock,JEC,107.0,93.23495325
77,DU1507428,Stock,JBHT,-86.0,116.27584535
78,DU1507428,Stock,XEC,-215.0,46.71391395
79,DU1507428,Stock,APH,-104.0,95.9544327
80,DU1507428,Stock,QRVO,126.0,79.5779365
81,DU1507428,Stock,CFG,260.0,37.895
82,DU1507428,Stock,TPR,368.0,27.045
83,DU1507428,Stock,IBM,73.0,135.37369865
84,DU1507428,Stock,SO,164.0,60.65609755
85,DU1507428,Stock,DISCA,-315.0,31.5042289
86,DU1507428,Stock,ADI,-88.0,113.01617725
87,DU1507428,Stock,SPB,12.0,51.35
88,DU1507428,Stock,HON,-55.0,178.1680109
89,DU1507428,Stock,ALB,-152.0,64.9919566
90,DU1507428,Stock,AFL,-196.0,51.1137209
91,DU1507428,Stock,DD,151.0,64.7766225
92,DU1507428,Stock,IEX,7.0,167.13285715
93,DU1507428,Stock,LMT,-25.0,391.861768
94,DU1507428,Stock,AEE,131.0,75.8576336
95,DU1507428,Stock,TROW,-84.0,118.2755274
96,DU1507428,Stock,LEG,187.0,53.3253476
97,DU1507428,Stock,IT,69.0,145.98449275
98,DU1507428,Stock,DVN,-462.0,21.46794305
99,DU1507428,Stock,BK,216.0,46.015
100,DU1507428,Stock,BDX,-40.0,247.86475
101,DU1507428,Stock,TXT,216.0,46.345
102,DU1507428,Stock,BEN,-357.0,28.32589105
103,DU1507428,Stock,LLY,88.0,113.33136365
