,Compte,Type,Ticker,Quantité,Average Cost
0,DU1507427,Stock,SWKS,125.0,79.918
1,DU1507427,Stock,GD,56.0,178.71785715
2,DU1507427,Stock,CAH,209.0,47.995
3,DU1507427,Stock,WBA,-184.0,54.36332065
4,DU1507427,Stock,REG,147.0,67.8768027
5,DU1507427,Stock,GS,-48.0,208.8647229
6,DU1507427,Stock,FB,55.0,182.8881818
7,DU1507427,Stock,MLM,-38.0,266.31805265
8,DU1507427,Stock,RTN,-51.0,197.0561941
9,DU1507427,Stock,ALXN,94.0,106.3306383
10,DU1507427,Stock,PYPL,-97.0,103.68742475
11,DU1507427,Stock,CMCSA,222.0,44.92292795
12,DU1507427,Stock,CINF,-87.0,115.5159954
13,DU1507427,Stock,AMZN,6.0,1784.16666665
14,DU1507427,Stock,NWSA,-719.0,13.90459305
15,DU1507427,Stock,WHR,-65.0,155.1712846
16,DU1507427,Stock,MPC,-182.0,54.98324835
17,DU1507427,Stock,ROL,293.0,34.155
18,DU1507427,Stock,ROK,62.0,162.39612905
19,DU1507427,Stock,BR,80.0,125.1125
20,DU1507427,Stock,LUV,182.0,54.7554945
21,DU1507427,Stock,VAR,-87.0,115.35599885
22,DU1507427,Stock,FDX,71.0,140.5140845
23,DU1507427,Stock,CXO,140.0,71.37714285
24,DU1507427,Stock,FITB,-360.0,27.7643061
25,DU1507427,Stock,TRIP,255.0,39.135
26,DU1507427,Stock,FLIR,-195.0,51.3936887
27,DU1507427,Stock,UTX,73.0,137.82369865
28,DU1507427,Stock,VNO,-157.0,63.80219045
29,DU1507427,Stock,PSX,-96.0,104.1873073
30,DU1507427,Stock,BWA,-273.0,36.81690255
31,DU1507427,Stock,CERN,-147.0,68.29166465
32,DU1507427,Stock,CNC,215.0,46.475
33,DU1507427,Stock,AVB,-47.0,213.8141787
34,DU1507427,Stock,XRX,329.0,30.395
35,DU1507427,Stock,CVS,158.0,63.48734175
36,DU1507427,Stock,EBAY,100.0,39.65
37,DU1507427,Stock,CBRE,189.0,52.915291
38,DU1507427,Stock,VLO,121.0,82.97826445
39,DU1507427,Stock,COO,34.0,294.86941175
40,DU1507427,Stock,ETFC,238.0,42.075
41,DU1507427,Stock,ACN,52.0,193.35923075
42,DU1507427,Stock,HRB,100.0,23.71
43,DU1507427,Stock,AOS,-210.0,47.63389475
44,DU1507427,Stock,HRL,-236.0,42.4740017
45,DU1507427,Stock,FLS,211.0,47.485
46,DU1507427,Stock,AVGO,36.0,276.0077778
47,DU1507427,Stock,SNA,-64.0,155.38103905
48,DU1507427,Stock,CHRW,118.0,84.8784746
49,DU1507427,Stock,AMGN,51.0,197.34960785
50,DU1507427,Stock,MRO,-814.0,12.2946264
51,DU1507427,Stock,STZ,49.0,206.14040815
52,DU1507427,Stock,EIX,-100.0,76.198303
53,DU1507427,Stock,CI,-62.0,161.04041775
54,DU1507427,Stock,CRM,66.0,152.5251515
55,DU1507427,Stock,KMX,118.0,84.7584746
56,DU1507427,Stock,MRK,120.0,83.66666665
57,DU1507427,Stock,HCA,81.0,123.6823457
58,DU1507427,Stock,SLG,127.0,78.667874
59,DU1507427,Stock,TSCO,-109.0,92.1339367
60,DU1507427,Stock,CVX,-83.0,119.9953482
61,DU1507427,Stock,MSFT,-72.0,139.2131097
62,DU1507427,Stock,MU,-204.0,49.23386175
63,DU1507427,Stock,XLNX,-104.0,96.34827115
64,DU1507427,Stock,AMP,-68.0,147.22212795
65,DU1507427,Stock,SCHW,-242.0,41.37361115
66,DU1507427,Stock,NTAP,192.0,52.09520835
67,DU1507427,Stock,BIIB,42.0,236.4238095
68,DU1507427,Stock,T,-268.0,37.3341082
69,DU1507427,Stock,SBUX,-111.0,90.1590054
70,DU1507427,Stock,GWW,-34.0,294.49437355
