,Compte,Type,Ticker,Quantité,Average Cost
120,DU1507429,Stock,FBHS,163.0,61.9554601
121,DU1507429,Stock,FLT,-33.0,300.9033485
122,DU1507429,Stock,APTV,-104.0,94.7983029
123,DU1507429,Stock,KR,370.0,26.9677027
124,DU1507429,Stock,MTB,-61.0,163.0001131
125,DU1507429,Stock,WLTW,-51.0,193.5962647
126,DU1507429,Stock,TDG,19.0,533.3826316
127,DU1507429,Stock,ADP,-58.0,170.10911725
128,DU1507429,Stock,K,-152.0,65.0956388
129,DU1507429,Stock,ATO,89.0,111.94123595
130,DU1507429,Stock,AMG,-114.0,86.02932805
131,DU1507429,Stock,TJX,173.0,58.3253179
132,DU1507429,Stock,AXP,-82.0,120.595189
133,DU1507429,Stock,AVY,-178.0,112.6163135
134,DU1507429,Stock,ROK,50.0,196.06
135,DU1507429,Stock,ABMD,53.0,186.4588679
136,DU1507429,Stock,MPC,-156.0,64.24214105
137,DU1507429,Stock,INCY,-114.0,87.4192991
138,DU1507429,Stock,PYPL,99.0,101.870101
139,DU1507429,Stock,ADSK,60.0,166.52666665
140,DU1507429,Stock,GS,-46.0,219.47359785
141,DU1507429,Stock,REG,154.0,64.3664935
142,DU1507429,Stock,MNST,-169.0,59.01723905
143,DU1507429,Stock,CE,-82.0,123.17513535
144,DU1507429,Stock,RHI,-172.0,58.2886744
145,DU1507429,Stock,SJM,-96.0,104.33730415
146,DU1507429,Stock,REGN,27.0,367.03703705
147,DU1507429,Stock,GD,54.0,183.5085185
148,DU1507429,Stock,SWKS,-133.0,75.55079775
149,DU1507429,Stock,FRT,-76.0,131.5839987
150,DU1507429,Stock,FLIR,183.0,53.7054645
151,DU1507429,Stock,PPG,78.0,126.1028205
152,DU1507429,Stock,FITB,386.0,25.8346373
153,DU1507429,Stock,CXO,-138.0,72.3111377
154,DU1507429,Stock,SYF,-268.0,37.02411455
155,DU1507429,Stock,BR,84.0,118.36190475
156,DU1507429,Stock,SNA,-61.0,164.8400754
157,DU1507429,Stock,HRL,-232.0,42.3540043
158,DU1507429,Stock,AOS,-194.0,51.62365775
159,DU1507429,Stock,HRB,-424.0,23.50203585
160,DU1507429,Stock,MET,-216.0,46.463919
161,DU1507429,Stock,HBI,-689.0,14.5618363
162,DU1507429,Stock,ALLE,-97.0,102.5874474
163,DU1507429,Stock,UAL,-106.0,92.7183387
164,DU1507429,Stock,HOLX,207.0,48.505
165,DU1507429,Stock,GWW,-31.0,318.97101935
166,DU1507429,Stock,T,262.0,37.765
167,DU1507429,Stock,BIIB,42.0,236.9138095
168,DU1507429,Stock,EXR,-94.0,106.09704575
169,DU1507429,Stock,NTAP,158.0,62.4263291
170,DU1507429,Stock,LKQ,316.0,31.645
171,DU1507429,Stock,AMP,62.0,158.92612905
172,DU1507429,Stock,PVH,-115.0,86.9093861
173,DU1507429,Stock,MRK,-116.0,85.93948105
174,DU1507429,Stock,EIX,-161.0,62.02996335
175,DU1507429,Stock,ANTM,34.0,294.62941175
176,DU1507429,Stock,GPC,-93.0,107.72689785
177,DU1507429,Stock,AIG,185.0,53.3954054
178,DU1507429,Stock,ORCL,185.0,54.3254054
179,DU1507429,Stock,CCI,74.0,133.2735135
180,DU1507429,Stock,DRE,286.0,34.575
181,DU1507429,Stock,TMUS,121.0,82.70826445
182,DU1507429,Stock,DIS,-66.0,151.48159395
183,DU1507429,Stock,TGT,-91.0,111.756578
184,DU1507429,Stock,XEL,159.0,62.9762893
185,DU1507429,Stock,NSC,51.0,192.70960785
186,DU1507429,Stock,DOV,-88.0,111.66484205
187,DU1507429,Stock,MCO,-44.0,223.9125182
188,DU1507429,Stock,TTWO,85.0,118.4117647
189,DU1507429,Stock,DHI,-178.0,55.54187695
190,DU1507429,Stock,JNPR,-388.0,25.7143487
191,DU1507429,Stock,NTRS,-103.0,96.93816505
192,DU1507429,Stock,MKTX,26.0,379.24846155
193,DU1507429,Stock,RSG,116.0,86.5310345
194,DU1507429,Stock,DAL,-182.0,55.4157665
195,DU1507429,Stock,NOC,-26.0,381.1835269
196,DU1507429,Stock,NCLH,184.0,53.88630435
197,DU1507429,Stock,DE,-62.0,162.03039675
198,DU1507429,Stock,LB,-566.0,17.65451535
