,Compte,Type,Ticker,Quantité,Average Cost
0,DU1507427,Stock,MGM,-370.0,27.0543208
1,DU1507427,Stock,WDC,187.0,53.3553476
2,DU1507427,Stock,CAH,-202.0,49.693852
3,DU1507427,Stock,WBA,-175.0,57.26298115
4,DU1507427,Stock,VTR,159.0,62.5262893
5,DU1507427,Stock,MLM,-38.0,266.31805265
6,DU1507427,Stock,CMCSA,-221.0,45.1339466
7,DU1507427,Stock,VRTX,-52.0,194.11663075
8,DU1507427,Stock,CCL,-232.0,43.11398835
9,DU1507427,Stock,CINF,88.0,114.20136365
10,DU1507427,Stock,IRM,304.0,32.735
11,DU1507427,Stock,CHTR,-23.0,429.1275174
12,DU1507427,Stock,AMZN,6.0,1784.16666665
13,DU1507427,Stock,HES,-152.0,66.10193355
14,DU1507427,Stock,NWS,-704.0,14.19458705
15,DU1507427,Stock,MCK,66.0,150.8251515
16,DU1507427,Stock,WHR,-63.0,158.28073175
17,DU1507427,Stock,CDNS,156.0,64.15641025
18,DU1507427,Stock,LUV,174.0,57.32574715
19,DU1507427,Stock,VAR,83.0,120.5520482
20,DU1507427,Stock,FDX,61.0,164.26639345
21,DU1507427,Stock,MAA,-76.0,132.16398685
22,DU1507427,Stock,LYB,-119.0,84.2297336
23,DU1507427,Stock,EXPE,74.0,135.4835135
24,DU1507427,Stock,TRIP,-313.0,31.8967128
25,DU1507427,Stock,L,-204.0,48.99386665
26,DU1507427,Stock,UTX,-68.0,146.5821412
27,DU1507427,Stock,VMC,68.0,147.7447059
28,DU1507427,Stock,MKC,62.0,161.45612905
29,DU1507427,Stock,VNO,-160.0,62.5023369
30,DU1507427,Stock,PSX,-96.0,104.1873073
31,DU1507427,Stock,BWA,-266.0,37.6441015
32,DU1507427,Stock,CERN,-147.0,67.95167145
