,Compte,Type,Ticker,Quantité,Average Cost
0,DU1507426,Stock,CCL,-331.0,44.94395045
1,DU1507426,Stock,VRTX,-71.0,212.4813972
2,DU1507426,Stock,AMZN,8.0,1756.165
3,DU1507426,Stock,NWSA,1150.0,12.895
4,DU1507426,Stock,MCK,99.0,149.900101
5,DU1507426,Stock,LUV,259.0,57.125
6,DU1507426,Stock,VMC,-103.0,143.4572029
7,DU1507426,Stock,VNO,-229.0,64.3660812
8,DU1507426,Stock,PSX,-125.0,118.489428
9,DU1507426,Stock,CNC,-252.0,59.553648
10,DU1507426,Stock,TWTR,473.0,31.085
11,DU1507426,Stock,MAR,110.0,135.9590909
12,DU1507426,Stock,MAS,326.0,45.6965951
13,DU1507426,Stock,ZION,591.0,50.16982235
14,DU1507426,Stock,CHRW,-190.0,77.76458685
15,DU1507426,Stock,CI,75.0,198.63333335
16,DU1507426,Stock,KMX,-150.0,99.72115
17,DU1507426,Stock,MO,-297.0,49.6456377
18,DU1507426,Stock,CMA,410.0,69.64036585
19,DU1507426,Stock,GM,408.0,35.925
20,DU1507426,Stock,NDAQ,-143.0,104.59673635
21,DU1507426,Stock,HUM,-45.0,334.44073555
22,DU1507426,Stock,TSN,-164.0,89.90192255
23,DU1507426,Stock,UAA,771.0,19.14332685
24,DU1507426,Stock,MTB,88.0,166.00272725
25,DU1507426,Stock,FBHS,234.0,63.495
26,DU1507426,Stock,HPE,-927.0,15.90455165
27,DU1507426,Stock,KO,-282.0,53.13378085
28,DU1507426,Stock,SWKS,153.0,97.64653595
29,DU1507426,Stock,REGN,-86.0,346.1829465
30,DU1507426,Stock,ALXN,129.0,113.91775195
31,DU1507426,Stock,RJF,166.0,89.1560241
32,DU1507426,Stock,FISV,-128.0,116.0396664
33,DU1507426,Stock,SHW,-25.0,585.57776
34,DU1507426,Stock,HBI,-22.0,14.82457275
35,DU1507426,Stock,SIVB,65.0,229.6553846
36,DU1507426,Stock,GPC,-141.0,105.0006149
37,DU1507426,Stock,HOG,-400.0,36.89411725
38,DU1507426,Stock,DHI,-273.0,54.71374835
39,DU1507426,Stock,DHR,106.0,140.20509435
40,DU1507426,Stock,NFLX,-47.0,315.2720787
41,DU1507426,Stock,ILMN,46.0,320.01173915
42,DU1507426,Stock,NCLH,278.0,53.605
43,DU1507426,Stock,WAB,183.0,81.0054645
44,DU1507426,Stock,D,-178.0,83.4525354
45,DU1507426,Stock,EFX,-105.0,141.06600855
46,DU1507426,Stock,SEE,-392.0,37.62410205
47,DU1507426,Stock,PM,-178.0,83.56253315
